video_id,title_length,uppercase_count,lowercase_count,special_characters_count,emoji_count,at_tags_count,dominant_color_r,dominant_color_g,dominant_color_b,num_edges,img_entropy,description_length,hashtags_count,urls_count,tags,duration,view_count,like_count
KrLj6nc516A,23,2,3,5,0,0,11.718147,12.97731,15.199394,14386,[4.766962],1001,0,7,,PT16M28S,68166369,3619325
KrLj6nc516A,23,2,3,5,0,0,240.07352,192.11145,77.31771,14386,[4.766962],1001,0,7,,PT16M28S,68167462,3619950
URNsrZza7Es,18,2,13,1,0,0,0.50401306,1.9926453,0.43154144,11045,[3.4076009],952,0,0,"motimaa,vihreäjavalkoinen,vihreä,valkoinen,vihreä ja valkoinen,moti,minecraft,suomi,roast,rant",PT2M53S,8278,228
URNsrZza7Es,18,2,13,1,0,0,99.42684462145523,165.59389358202617,101.96129520667924,11045,[3.4076009],952,0,0,"motimaa,vihreäjavalkoinen,vihreä,valkoinen,vihreä ja valkoinen,moti,minecraft,suomi,roast,rant",PT2M53S,8278,228
URNsrZza7Es,18,2,13,1,0,0,16.0,16.0,16.0,317,[3.731535],952,0,0,"motimaa,vihreäjavalkoinen,vihreä,valkoinen,vihreä ja valkoinen,moti,minecraft,suomi,roast,rant",PT2M53S,8278,228
URNsrZza7Es,18,2,13,1,0,0,99.40915843623655,165.60999912871256,101.94028379846502,11045,[3.4076009],952,0,0,"motimaa,vihreäjavalkoinen,vihreä,valkoinen,vihreä ja valkoinen,moti,minecraft,suomi,roast,rant",PT2M53S,8278,228
URNsrZza7Es,18,2,13,1,0,0,190.3177695290961,246.25821018123216,194.72900466213977,11045,[3.4076009],952,0,0,"motimaa,vihreäjavalkoinen,vihreä,valkoinen,vihreä ja valkoinen,moti,minecraft,suomi,roast,rant",PT2M53S,8278,228
7RBwTyd1eoo,56,23,23,4,1,0,178.07448220150056,182.44604539039955,150.37517420857594,24468,[4.7145424],93,0,1,"Minecraft MUTTA,Minecraft MUT,suomi,Minecraft,Minecraft Suomi,Suomi Minecraft,Hardcore,Minecraft Hardcore suomi,Hardcore suomi,Minecraft Hardcore,uGim Minecraft,uGim,uGim mutta sarja,Minecraft MUTTA ajatusten voimalla,minecraftissa,telekinesia,ajatusten voima,MUTTA,hallitsen,maailmaa,AJATUSTEN,VOIMALLA!?",PT19M46S,5075,322
7RBwTyd1eoo,56,23,23,4,1,0,194,206,178,24468,[4.7145424],93,0,1,"Minecraft MUTTA,Minecraft MUT,suomi,Minecraft,Minecraft Suomi,Suomi Minecraft,Hardcore,Minecraft Hardcore suomi,Hardcore suomi,Minecraft Hardcore,uGim Minecraft,uGim,uGim mutta sarja,Minecraft MUTTA ajatusten voimalla,minecraftissa,telekinesia,ajatusten voima,MUTTA,hallitsen,maailmaa,AJATUSTEN,VOIMALLA!?",PT19M46S,5075,322
7RBwTyd1eoo,56,23,23,4,1,0,178.17926584327958,182.47577010266093,150.43664007249552,24468,[4.7145424],93,0,1,"Minecraft MUTTA,Minecraft MUT,suomi,Minecraft,Minecraft Suomi,Suomi Minecraft,Hardcore,Minecraft Hardcore suomi,Hardcore suomi,Minecraft Hardcore,uGim Minecraft,uGim,uGim mutta sarja,Minecraft MUTTA ajatusten voimalla,minecraftissa,telekinesia,ajatusten voima,MUTTA,hallitsen,maailmaa,AJATUSTEN,VOIMALLA!?",PT19M46S,5075,322
